,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
left cerebral white matter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9710725567730789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left cerebral cortex,0.355840280330142,0.0,0.0,0.0,0.0,0.0,0.18627976074941088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37777396363234517,0.9344708728254246,-0.1748524197787332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left lateral ventricle,0.0,0.0,0.0,0.14338726007688374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4908699279063958,0.0,0.0,-0.0729352742840857,0.0,0.0,0.7558425106996545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left inferior lateral ventricle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4455732991691947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left cerebellum white matter,0.0,0.0,0.0,0.0,0.0,0.3237499899538228,0.0,0.0,0.0,0.0,0.0,0.0,0.2262136364660052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left cerebellum cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left thalamus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left caudate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left putamen,0.0,0.0,0.0,0.0,0.0,0.0,0.31903072547227435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17558048943407378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35720556855162394,0.0
left pallidum,0.0,0.0,0.19650198100046426,0.14669761571749793,0.0,0.0,-0.2556083324240904,0.13604172152913388,0.12609134265838381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1967039299905687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16321708900723467,0.0,0.0,0.0
3rd ventricle,-0.2647403018758402,0.0,0.2655473793383228,0.15174190504979695,0.0,-0.08059387542921831,0.0,0.0,0.0,0.0,0.0,0.0,-0.08766892608840382,0.0,0.0,0.0,0.0,-0.22976742425976782,0.0,0.22767904046879575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10841556369943497,0.0
4th ventricle,-0.16620539150163005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2852686023463139,0.0,-0.09155663542024535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1061879110161679,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brain-stem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22843476412393499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left hippocampus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left amygdala,0.0,0.0,0.0,0.13255285769441033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12101154231124368,0.0,0.0,0.05737274553174854,0.0,0.0,0.0923248399402846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6280576262579203,0.0,0.0
left accumbens area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6760797331360986,0.0
left ventral DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right cerebral white matter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right cerebral cortex,-0.3645782977266451,0.0,-0.1898159440829543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16977331025545675,0.40378538706028355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right lateral ventricle,0.0,0.0,0.0,0.0,0.0,0.0,-0.08557190288494258,0.0,0.0,0.0,0.0,0.0,0.0,0.39391669734015883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right inferior lateral ventricle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right cerebellum white matter,0.0,0.0,0.0,0.0,0.9325427928618569,-0.17583991357757547,0.0,0.0,0.0,0.0,0.0,0.0,0.2957950525585566,0.0726691992756806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3841794224185381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right cerebellum cortex,0.0,0.0,0.0,0.0,0.0,0.9212884672545184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right thalamus,0.0,0.0,0.0,0.14962696421125182,0.0,0.0,0.8112273448962047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1964180752879844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1952455367680902,0.0,0.0,0.22806652748662692
right caudate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9452837811775425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20461277129531016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right putamen,0.0,0.0,-0.18929432148198025,0.0,0.0,0.0,-0.28915760690233366,0.0,0.932143484354137,0.0,0.0,0.0,0.0,0.0,0.0,0.20899225773358035,0.07012395498627154,0.0,0.0,0.0,0.0,0.0,0.0,0.2803857165514065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right pallidum,0.0,0.0,0.0,0.0,0.0,0.0,0.2618563927313028,0.0,0.0,0.8081886979845575,0.0,0.0,0.0,0.0,0.0,0.0,0.12858945231981006,0.0,0.0,0.0,0.0,0.0,0.0,0.007282421812013447,0.26507180999760466,0.32179255225094827,0.0,0.0,0.0,0.0,0.2633278726040593
